Country,Animal fats,Animal Products,Eggs,"Fish, Seafood",Meat,Offals,Cereals - Excluding Beer,Oilcrops,Pulses,Spices,Starchy Roots,Sugar Crops,Vegetable Oils,Vegetables,Vegetal Products,Fruits - Excluding Wine,Treenuts,Milk - Excluding Butter,Miscellaneous,Stimulants,Sugar & Sweeteners
Cameroon,0.7838,6.3264,0.0746,0.9051,3.3685,0.084,6.9796,9.7509,0.8491,0.7465,0.5319,0,23.2155,0.5505,43.6689,0.7931,0.1026,1.1197,0.028,0.1213,0
Canada,9.7895,23.1663,1.2437,0.4244,7.8211,0.0065,1.544,2.36,0.1991,0.0979,0.0588,0,20.4733,0.222,26.8353,0.4244,1.211,3.8812,0.062,0.1795,0
Central African Republic,2.8767,18.5453,0.1122,0.5509,12.9144,0.3468,2.7645,7.0183,0.4794,0.0102,1.0609,0,19.4838,0.0918,31.4598,0.4998,0,1.7342,0.0102,0.0408,0
Chad,3.1261,16.8564,0.0701,0.648,7.8546,0.7268,7.986,16.7863,0.5342,0,0.1926,0,7.5131,0.0263,33.1436,0.0701,0,4.4308,0.0088,0.0263,0
Chile,5.2608,32.5206,1.4085,0.5204,20.2172,0.0396,3.1847,1.1596,0.2093,0.0283,0.181,0,10.844,0.2602,17.4737,0.4186,0.7241,5.0798,0.0339,0.4356,0
China,3.4468,31.0465,2.3066,0.9817,21.6062,0.4784,2.5989,1.8351,0.0234,0.0676,0.0565,0,10.659,0.5763,18.9535,0.2344,1.7979,2.2156,0.1517,0.9362,0.0179
Colombia,1.7819,21.4008,1.7819,0.3717,11.3996,0.118,1.7347,0.9854,0.1652,0.1239,0.2832,0,23.0824,0.1829,28.5992,1.2273,0.5251,5.9535,0.0177,0.2655,0
Congo,0.339,12.9993,0.1377,1.854,9.6514,0.339,2.7016,5.0429,0.1483,0.0106,1.0806,0,26.0091,0.5827,36.9954,0.837,0.0212,0.678,0.053,0.5191,0
Costa Rica,6.1,20.5571,1.1492,0.9286,5.6449,0.0552,1.6733,1.0389,0.2436,0.0414,0.0506,0,24.8736,0.1701,29.4475,0.57,0.354,6.67,0.0138,0.4045,0.0138
Cote d'Ivoire,0.2726,5.3253,0.4271,1.2268,2.5809,0.2545,4.9709,4.8891,0.1,0.6089,1.2359,0,27.7354,0.3272,44.6747,0.5271,2.3355,0.5634,0.0091,1.9357,0
Croatia,7.4457,29.3768,0.9476,0.5633,11.4896,0.131,2.9565,1.8123,0.0175,0.0655,0.0393,0,11.7123,0.393,20.6254,0.2577,0.6987,8.7951,0,2.6726,0
Cuba,3.2213,25.9025,1.4788,0.2638,16.0233,0.1458,4.4779,2.6937,0.6248,0.0417,0.3749,0,14.5446,0.5554,24.0975,0.6179,0.0069,4.7695,0.0139,0.1458,0
Cyprus,1.8698,20.9578,1.0044,0.7309,10.5506,0.1031,3.4616,2.1164,0.0628,0.0538,0.0404,0,19.7381,0.2601,29.0467,0.3632,0.8609,6.6945,0.1614,1.9236,0
